ticker,price,updated_at
A6I,3.285,2026-04-30T07:20:59Z
ABCL,3.82,2026-04-30T07:20:59Z
ADUR,11.77,2026-04-30T07:20:59Z
AMD,337.11,2026-04-30T07:20:59Z
AMZN,263.04,2026-04-30T07:20:59Z
ASTS,69.85,2026-04-30T07:20:59Z
CELH,32.66,2026-04-30T07:20:59Z
ELF,0.0,2026-04-29T07:00:00Z
GOOGL,349.94,2026-04-30T07:20:59Z
HIMS,26.33,2026-04-30T07:20:59Z
KRKNF,5.565,2026-04-30T07:20:59Z
NFLX,92.12,2026-04-30T07:20:59Z
NVO,40.29,2026-04-30T07:20:59Z
ONDS,9.49,2026-04-30T07:20:59Z
OSCR,17.93,2026-04-30T07:20:59Z
OUST,0.0,2026-04-29T07:00:00Z
RDW,8.6,2026-04-30T07:20:59Z
SMR,0.0,2026-04-29T07:00:00Z
SOFI,15.525,2026-04-30T07:20:59Z
TE,4.89,2026-04-30T07:20:59Z
UBER,74.47,2026-04-30T07:20:59Z
ZETA,17.81,2026-04-30T07:20:59Z
