ticker,shares,live_price,currency,mkt_val,note,snapshot_dt
AMD,20.2915,,USD,,large-cap tech,2026-04-29T07:06:46Z
GOOGL,11.641,,USD,,large-cap tech,2026-04-29T07:06:46Z
ZETA,200.378,,USD,,mid-cap MarTech,2026-04-29T07:06:46Z
OSCR,178.9193,,USD,,mid-cap health-tech,2026-04-29T07:06:46Z
HIMS,108.7022,,USD,,mid-cap telehealth,2026-04-29T07:06:46Z
AMZN,11.4169,,USD,,large-cap tech/retail,2026-04-29T07:06:46Z
ASTS,30.0032,,USD,,small-cap space,2026-04-29T07:06:46Z
SOFI,112.6557,,USD,,fintech,2026-04-29T07:06:46Z
ADUR,130.0497,,USD,,micro-cap (CAD),2026-04-29T07:06:46Z
TE,259.736,,USD,,small-cap telecom,2026-04-29T07:06:46Z
NFLX,12.0,,USD,,large-cap streaming,2026-04-29T07:06:46Z
ONDS,104.524,,USD,,micro-cap,2026-04-29T07:06:46Z
UBER,14.4919,,USD,,large-cap mobility,2026-04-29T07:06:46Z
NVO,25.0,,USD,,large-cap pharma,2026-04-29T07:06:46Z
KRKNF,153.3175,,USD,,pink-sheet,2026-04-29T07:06:46Z
A6I,220.0,,USD,,frankfurt-listed,2026-04-29T07:06:46Z
ABCL,200.0529,,USD,,biotech,2026-04-29T07:06:46Z
RDW,0.0,,USD,,space infra — planned 1%,2026-04-29T07:06:46Z
OUST,0.0,,USD,,lidar — planned 1%,2026-04-29T07:06:46Z
SMR,0.0,,USD,,SMR nuclear — planned 1%,2026-04-29T07:06:46Z
ELF,0.0,,USD,,beauty — planned 1%,2026-04-29T07:06:46Z
_TOTAL_,,,,0.0,sum,2026-04-29T07:06:46Z
AMD,20.2915,,USD,,large-cap tech,2026-04-29T07:08:27Z
GOOGL,11.641,,USD,,large-cap tech,2026-04-29T07:08:27Z
ZETA,200.378,,USD,,mid-cap MarTech,2026-04-29T07:08:27Z
OSCR,178.9193,,USD,,mid-cap health-tech,2026-04-29T07:08:27Z
HIMS,108.7022,,USD,,mid-cap telehealth,2026-04-29T07:08:27Z
AMZN,11.4169,,USD,,large-cap tech/retail,2026-04-29T07:08:27Z
ASTS,30.0032,,USD,,small-cap space,2026-04-29T07:08:27Z
SOFI,112.6557,,USD,,fintech,2026-04-29T07:08:27Z
ADUR,130.0497,,USD,,micro-cap (CAD),2026-04-29T07:08:27Z
TE,259.736,,USD,,small-cap telecom,2026-04-29T07:08:27Z
NFLX,12.0,,USD,,large-cap streaming,2026-04-29T07:08:27Z
ONDS,104.524,,USD,,micro-cap,2026-04-29T07:08:27Z
UBER,14.4919,,USD,,large-cap mobility,2026-04-29T07:08:27Z
NVO,25.0,,USD,,large-cap pharma,2026-04-29T07:08:27Z
KRKNF,153.3175,,USD,,pink-sheet,2026-04-29T07:08:27Z
A6I,220.0,,USD,,frankfurt-listed,2026-04-29T07:08:27Z
ABCL,200.0529,,USD,,biotech,2026-04-29T07:08:27Z
RDW,0.0,,USD,,space infra — planned 1%,2026-04-29T07:08:27Z
OUST,0.0,,USD,,lidar — planned 1%,2026-04-29T07:08:27Z
SMR,0.0,,USD,,SMR nuclear — planned 1%,2026-04-29T07:08:27Z
